Date,Open,High,Low,Close,Adj Close,Volume
2020-01-03,36.736244,37.229603,36.688805,36.935486,33.617867,14922848
2020-01-06,36.831120,37.001900,36.717270,36.888046,33.574688,15771951
2020-01-07,37.115749,37.125237,36.698292,36.764706,33.462429,20108107
2020-01-08,36.774193,37.210625,36.764706,37.058823,33.730133,16403507
2020-01-09,37.258064,37.258064,36.802658,36.897533,33.583324,21971895
2020-01-10,36.982922,37.599621,36.973434,37.466793,34.101456,21557357
2020-01-13,37.590134,37.732449,37.201138,37.390892,34.032368,15392405
2020-01-14,37.409866,38.026566,37.286530,38.017078,34.602314,20919160
2020-01-15,38.130932,38.776093,38.111954,38.586338,35.120441,23925800
2020-01-16,38.700191,38.709679,38.254269,38.529411,35.068619,16216422
2020-01-17,38.491463,38.719166,38.349148,38.434536,34.982277,23083970
2020-01-21,38.311195,38.576851,38.130932,38.273247,34.835472,23115696
2020-01-22,38.254269,38.339657,37.922199,38.130932,34.705936,18097812
2020-01-23,38.130932,38.738140,38.074005,38.624287,35.154976,27148510
2020-01-24,38.842506,38.870968,37.609108,37.779884,34.386425,34143698
2020-01-27,37.390892,38.358635,37.239090,38.102467,34.680035,31964026
2020-01-28,37.305504,37.466793,36.005692,36.185959,32.935665,70202408
2020-01-29,36.166985,36.413662,35.626186,35.654648,32.452076,34165726
2020-01-30,35.199242,35.265656,34.810246,35.170776,32.338669,32316589
2020-01-31,35.047440,35.531307,35.009487,35.332069,32.486977,33894005
2020-02-03,35.540798,36.091084,35.388992,35.588234,32.722507,20875735
2020-02-04,36.129032,36.280834,35.702087,35.759014,32.879536,31150865
2020-02-05,35.910816,36.593929,35.882355,36.214420,33.298275,29443490
2020-02-06,36.470589,36.527515,36.081593,36.299809,33.376789,21047748
2020-02-07,36.394688,36.432636,35.986717,36.100571,33.193596,21903596
2020-02-10,36.252373,36.261860,35.787476,35.872864,32.984222,19998385
2020-02-11,35.948769,36.176472,35.825428,36.138519,33.228485,16027335
2020-02-12,36.138519,36.233398,35.787476,35.806454,32.923161,22944315
2020-02-13,35.654648,35.654648,35.000000,35.037952,32.216537,22099745
2020-02-14,35.075901,35.142315,34.554081,34.639469,31.850145,21006747
2020-02-18,34.677418,34.791271,34.411766,34.459202,31.684399,17988513
2020-02-19,34.535103,34.629982,34.354839,34.373814,31.605886,17750941
2020-02-20,33.880455,34.212524,33.595825,34.013283,31.274385,42953135
2020-02-21,33.927895,33.984821,33.709679,33.889942,31.160975,32425256
2020-02-24,33.244781,33.586338,32.827324,32.893738,30.244987,37969296
2020-02-25,32.903225,32.960152,31.982922,32.191650,29.599440,41878898
2020-02-26,32.485767,33.406071,32.277039,32.941177,30.288607,47920005
